,152115001 ADVANCED PROGRAMMING,152115021 BÜYÜK VERİ İŞLENMESİ,152117003 DATA SECURITY,152117005 IMAGE PROCESSING,152117007 DATABASE PROGRAMMING,152117008 DISTRIBUTED SYSTEMS,152117106 INTRODUCTION TO AUTONOMOUS MOBILE ROBOTS,152117107 INTRODUCTION TO ARTIFICIAL INTELLIGENCE,152117111 MOBİL PROGRAMLAMA,152117116 INTRODUCTION TO SECURE CODING,152117117 INTRODUCTION TO RECOMMENDER SYSTEM,152117118 BÜYÜK VERİ İŞLENMESİ,152117119 DERİN ÖĞRENMEYE GİRİŞ,152117121 INTRODUCTION TO WIRELESS SENSOR NETWORKS,152117115 ADVANCED PROGRAMMING,152117120 PROBLEMS IN DATA STRUCTURES AND ALGORITHMS,152118004 SYSTEMS ANALYSIS,152118016 NETWORK APPLICATIONS,152118026 INTRODUCTION TO VHDL,152118028 INTRODUCTION TO VHDL,152118030 WEB BASED TECHNOLOGIES,152118033 PATTERN RECOGNITION,152118034 INTRO. TO DATA MINING,152118035 NETWORK APPLICATIONS UE,152118514 AĞ GÜVENLİĞİ,152118616 OTONOM ROBOTİK SENTEZ VE TASARIMI,152118633 MAKİNE ÖĞRENMESİ,152118001 PARALLEL PROGRAMMING,152118003 NEURAL NETWORKS,152118018 REAL TIME DSP SYSTEM DESIGN,152118023 KURUMSAL JAVA,152118024 HESAPLAMA GEOMETRİSİ,152118036 COMPUTER SECURITY,152118513 SİSTEM PROGRAMLAMA,152118632 BULANIK MANTIK,152118634 COMPUTER SECURITY,152118635 WEB BASED TECHNOLOGIES
152111014 PROGRAMLAMAYA GİRİŞ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
152111015 PROGRAMLAMAYA GİRİŞ LAB.,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
152111016 BİLGİSAYAR MÜHENDİSLİĞİNE GİRİŞ,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
152111017 CALCULUS I,0.0,0.04709576138147566,0.0565149136577708,0.0706436420722135,0.141287284144427,-1.0,-1.0,0.0,0.04709576138147566,-1.0,0.141287284144427,-1.0,0.0706436420722135,0.141287284144427,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0565149136577708,0.0706436420722135,0.015698587127158554,0.141287284144427,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0
152111019 INTRODUCTION TO PROGRAMMING,0.030465079801731975,0.009792347079128134,0.058754082474768814,0.1370928591077939,0.11995625171931966,0.06854642955389695,-1.0,0.0,0.0,0.08225571546467633,0.0,0.0,0.021091209093506754,0.12462987191617626,0.0,-1.0,0.06854642955389695,-1.0,-1.0,-1.0,-1.0,0.0,0.022848809851298984,0.0383860005501823,0.1370928591077939,-1.0,0.025704911082711356,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.054837143643117564,0.0,0.0,-1.0
152112007 ENGINEERING GRAPHICS,-1.0,0.03647680393717884,0.03647680393717884,0.0,0.14590721574871535,0.045596004921473546,-1.0,0.0,0.04052978215242092,0.060794673228631385,0.0,0.0,0.05471520590576825,0.12158934645726277,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.052109719910255474,0.03647680393717884,0.022798002460736773,0.03647680393717884,-1.0,0.03647680393717884,0.0,-1.0,-1.0,0.09119200984294709,0.0,0.0,0.18238401968589418,-1.0,-1.0,-1.0
152112002 CALCULUS II,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
152112005 PHYSICS II,0.0,0.015808458361649853,0.02568874483768101,0.0,0.07706623451304304,0.044037848293167446,-1.0,0.007339641382194574,0.02568874483768101,0.061652987610434425,0.01712582989178734,0.010275497935072405,0.014679282764389148,0.07706623451304304,0.10275497935072404,-1.0,0.05137748967536202,0.0,-1.0,-1.0,0.10275497935072404,0.03425165978357468,0.0,0.01902869987976371,0.07706623451304304,-1.0,0.013700663913429872,-1.0,-1.0,-1.0,0.05137748967536202,0.0,0.0,0.06850331956714936,0.0,0.10275497935072404,-1.0
152112006 PHYSICS II LAB,0.0,0.0,0.0335195530726257,0.0,0.0,-1.0,-1.0,0.0,0.11173184357541899,-1.0,-1.0,0.0,0.0,0.16759776536312848,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.16759776536312848,0.0,0.0,0.01675977653631285,0.16759776536312848,-1.0,0.0,-1.0,-1.0,-1.0,0.16759776536312848,0.0,-1.0,-1.0,0.0,0.16759776536312848,-1.0
152112009 LINEAR ALGEBRA,0.06333579434495012,0.01809594124141432,0.014902539845870618,0.03166789717247506,0.0904797062070716,0.08444772579326683,-1.0,0.0,0.03800147660697007,-1.0,0.0,0.0,0.0,0.11083764010366272,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.01583394858623753,0.06333579434495012,0.052158889460547156,0.06333579434495012,-1.0,0.009743968360761558,0.12667158868990025,-1.0,-1.0,0.0904797062070716,0.0,0.0,0.0,0.0,0.12667158868990025,-1.0
152112010 COMPUTER PROGRAMMING,0.0,0.12269938650306751,0.0408997955010225,0.030674846625766878,-1.0,0.0,-1.0,0.0,0.061349693251533756,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.049079754601227,-1.0,-1.0,-1.0,0.12269938650306751,0.24539877300613502,0.0,0.0,0.0408997955010225,-1.0,-1.0,0.12269938650306751,-1.0,-1.0,0.16359918200409,0.0,0.0,-1.0,-1.0,-1.0,-1.0
152112011 COMPUTER PROGRAMMING LAB.,0.012687517583782738,0.06343758791891368,0.013355281667139724,0.01585939697972842,0.09062512559844813,0.025375035167565476,-1.0,0.0,0.014926491275038515,0.12687517583782737,0.12687517583782737,0.025375035167565476,0.0,0.10735591801662317,-1.0,-1.0,0.025375035167565476,0.0,-1.0,-1.0,0.03171879395945684,0.028194483519517193,0.018125025119689626,0.025375035167565476,0.047578190939185264,-1.0,0.03171879395945684,0.06343758791891368,-1.0,-1.0,0.06343758791891368,0.04229172527927579,0.0,0.0,0.0,-1.0,-1.0
152112012 DISCRETE COMPUTATIONAL STRUCTURE,0.12952605239917572,-1.0,0.05181042095967029,0.08635070159945048,-1.0,0.05181042095967029,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0485722696496909,0.0,0.0,0.1780983220488666,0.21587675399862621,0.07065057403591403,0.0,-1.0,-1.0,-1.0,0.08635070159945048,-1.0,-1.0,0.08095378274948482,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
152112013 LİNEER CEBİR,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.3061224489795918,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.4081632653061224,0.0,0.08163265306122448,0.2040816326530612,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0
152112014 DISCRETE COMPUTATIONAL STRUCTURES,0.022182472705435618,0.06654741811630685,0.028837214517066306,0.02059801036933307,0.09612404839022101,0.1441860725853315,-1.0,0.0075887406623858684,0.04613954322730609,-1.0,0.07209303629266575,0.024031012097555253,0.018023259073166438,0.10813955443899864,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.044364945410871236,0.016020674731703502,0.02059801036933307,0.055456181763589046,-1.0,0.028837214517066306,-1.0,-1.0,-1.0,0.036046518146332876,0.0,0.0,0.0,0.0,0.1441860725853315,-1.0
152112015 MÜHENDİSLİK GRAFİĞİ,0.21686746987951808,0.24096385542168675,0.0,0.0,-1.0,-1.0,-1.0,0.09036144578313253,0.3614457831325301,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.09036144578313253,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
152112016 COMPUTER PROGRAMMING,0.041917210808795465,0.03493100900732955,0.027944807205863644,0.03493100900732955,0.17465504503664778,0.08982259459027599,-1.0,0.0,0.022061689899366032,0.12897603325783222,0.0,0.0,0.0,0.1714794987632542,0.0,-1.0,0.0698620180146591,-1.0,-1.0,-1.0,-1.0,0.0,0.026198256755497164,0.032244008314458054,0.08982259459027599,-1.0,0.05515422474841508,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0
152112017 CALCULUS II,0.0,0.1883408071748879,0.06278026905829596,0.1883408071748879,0.1883408071748879,0.0,-1.0,0.0,0.06278026905829596,-1.0,-1.0,0.0,0.0,0.1883408071748879,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.026905829596412554,0.09417040358744395,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0
152113001 COMPUTER PROGRAMMING II,0.27038626609442057,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7296137339055794,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
152113002 COMPUTER PROGRAMMING LAB II,0.220125786163522,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.7798742138364779,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
152113004 DIFFERENTIAL EQUATIONS,0.08350278007128269,0.19235461837849047,0.02699713942154252,0.07599194800137894,-1.0,0.04274547075077566,-1.0,0.0,0.03945735761610061,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.128236412252327,0.051294564900930796,-1.0,-1.0,0.1465558997169451,0.128236412252327,0.04663142263720981,0.03799597400068947,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0
152113005 DIGITAL SYSTEMS I,0.06615435625940977,0.2039759317998468,0.017483651297129723,0.06752306707856996,-1.0,0.034967302594259446,-1.0,0.016318074543987742,0.03765709510151018,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.07199150534112239,0.042201916924106235,-1.0,-1.0,0.12238555907990807,0.06993460518851889,0.05562979958177639,0.01019879658999234,-1.0,-1.0,-1.0,0.12238555907990807,-1.0,-1.0,0.061192779539954036,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
152113006 ATATÜRK İLKE.VE İNK.TARİHİ I,0.016744044447827084,0.200928533373925,0.03767410000761094,0.06697617779130834,-1.0,0.03767410000761094,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.200928533373925,-1.0,-1.0,0.08372022223913542,0.012558033335870312,-1.0,-1.0,0.0,-1.0,0.05479869092016136,0.0200928533373925,-1.0,-1.0,0.200928533373925,0.0,-1.0,-1.0,0.06697617779130834,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
152113012 VERİ YAPILARI,0.05605966248720661,0.07088003302980146,0.03866183619807352,0.05425128627794189,-1.0,0.02577455746538235,-1.0,0.01437427243261708,0.011679096351501377,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.08585714074617229,0.03397555302254946,0.0,-1.0,0.09343277081201101,0.16610270366579735,0.040622943831309134,0.03737310832480441,0.046716385406005506,-1.0,0.18686554162402202,0.0,-1.0,-1.0,0.03737310832480441,0.0,0.0,0.0,-1.0,-1.0,-1.0
152113013 OBJECT ORIENTED PROGRAMMING I,0.13385223934981746,0.23902185598181688,0.031869580797575583,0.10708179147985397,-1.0,0.04615594460338533,-1.0,0.0,0.07436235519434303,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.09295294399292879,0.05905245853668418,-1.0,0.0,0.0,0.0,0.05577176639575727,0.037181177597171516,-1.0,-1.0,-1.0,0.06692611967490873,-1.0,-1.0,0.05577176639575727,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
152113014 OBJECT ORIENTED PROGRAMMING I LAB.,0.06191701511740109,0.20896992602122869,0.030958507558700544,0.1013187520102927,-1.0,0.04643776133805082,-1.0,0.0,0.06965664200707622,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.059705693148922476,0.055725313605660985,-1.0,-1.0,0.09287552267610164,0.0,0.055725313605660985,0.030958507558700544,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.18575104535220327,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
152113015 NUMERICAL METHODS,0.032732405590662435,0.0311737196101547,0.022445078119311384,0.026970834198428485,0.057749315577811586,0.03553804035557636,-1.0,0.00838161329140952,0.010057935949691423,0.06910174513584293,0.04442255044447045,0.00634607863492435,0.027336954119674125,0.08201086235902237,0.04442255044447045,0.0888451008889409,0.03283405902417381,0.016922876359798264,0.04442255044447045,-1.0,0.021153595449747833,0.0419546309753332,0.01890321295509381,0.02284588308572766,0.022211275222235226,-1.0,0.012438314124451727,0.008076827353540083,-1.0,-1.0,0.011588491420296639,0.008076827353540083,0.04442255044447045,0.01776902017778818,0.0,0.0888451008889409,-1.0
152113016 SAYISAL SİSTEMLER I,0.10345581091815371,0.08185514710007767,0.08185514710007767,0.0,-1.0,0.1330146140376262,-1.0,0.0241844752795684,0.0241844752795684,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.12193006286782401,-1.0,-1.0,-1.0,-1.0,0.11971315263386359,0.040927573550038836,0.059856576316931795,0.1330146140376262,-1.0,0.07600835087864354,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0
152113017 NESNE TABANLI PROGRAMLAMA I,0.0390647525540336,0.04185509202217885,0.055150238899812146,0.007102682282551564,0.09673176822903558,0.06629170130381459,-1.0,0.023272618542828527,0.008929086298064822,0.1154957901597515,0.04261609369530938,0.020381610028191444,0.04297122780943696,0.10996004422616865,0.0781295051080672,-1.0,0.06155657978211355,-1.0,-1.0,-1.0,-1.0,0.04112079216214063,0.013787559724953036,0.0390647525540336,0.04310593385272673,-1.0,0.025001441634581505,-1.0,0.0,-1.0,-1.0,0.028410729130206255,0.0,0.0,0.0,-1.0,0.0
152113018 NESNE TABANLI PROGRAMLAMA I LAB.,0.0370523512885606,0.026266000135668516,0.040409230977951564,0.019898484951264027,0.07075016871560542,0.05223352299706807,-1.0,0.01638698760692332,0.018367832262705257,0.08824545500125786,0.035817272912275246,0.011553959003959759,0.034439685492572356,0.07835028449560211,0.05969545485379208,-1.0,0.054268595321629164,-1.0,-1.0,-1.0,-1.0,0.045016244643843205,0.02984772742689604,0.032267813434482207,0.06912105298860137,-1.0,0.020823995879229798,-1.0,0.0,-1.0,0.0,0.11939090970758416,0.0,0.0,0.0,0.0,0.039796969902528054
152113019 DIFFERENTIAL EQUATIONS,0.029986049546092228,0.017991629727655337,0.03354371644139131,0.06746861147870752,0.05681567282417475,0.04176628329634275,-1.0,0.015421396909418862,0.01606395511397798,0.06257958166140987,0.024534040537711823,0.0,0.029986049546092228,0.06227871828803771,0.08995814863827668,0.08995814863827668,0.025702328182364766,-1.0,-1.0,-1.0,-1.0,0.04734639402014562,0.014203918206043687,0.02685317869799304,0.057246094587994255,-1.0,0.010379786381339618,-1.0,0.08995814863827668,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.08995814863827668,-1.0
152113020 SAYISAL TASARIM,0.033125248474394006,0.0191777754325439,0.04354199327766256,0.04858369776244455,0.08281312118598502,0.0674773580033952,-1.0,0.021800377201096913,0.015182405550763922,0.0860336314543289,0.0383555508650878,0.014575109328733364,0.034325438636509734,0.0860336314543289,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.05313841942767372,0.0323891318416297,0.04188249807107289,0.0971673955248891,-1.0,0.018402915819107784,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.024291848881222274,0.06072962220305569,0.08097282960407425
152113021 VERİ YAPILARI,0.042559172517876165,0.018861451456786024,0.05256057805957706,0.04610577022769917,0.09405577126450632,0.06639230912788681,-1.0,0.035694789853702585,0.013173077207914049,0.10059440776952547,0.0,0.009221154045539835,0.04015663858541541,0.12204468589685075,0.13831731068309752,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.03457932767077438,0.019759615811871075,0.04688722396037204,0.10059440776952547,-1.0,0.01844230809107967,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0
152113022 VERİ YAPILARI LABORATUVARI,0.04319256909931067,0.01914216130537632,0.04925468406061743,0.03509396239318992,0.09212165128212353,0.06738040779492464,-1.0,0.029552810436370456,0.01220659561502258,0.10375606272769193,0.02339597492879328,0.01169798746439664,0.037433559886069244,0.09878300525490497,0.14037584957275967,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.04010738559221705,0.016514805832089374,0.0460935625462793,0.11230067965820775,-1.0,0.021596284549655335,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0
152114003 DISCRETE COMPUTATIONAL STRUCTURES,0.13901678300905984,-1.0,0.04544779444526957,0.0656468141987227,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.4544779444526957,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.2954106638942522,0.0,-1.0,-1.0,-1.0,-1.0,-1.0
152114001 ASSEMBLY PROGRAMMING,0.08108108108108109,-1.0,0.0,0.04307432432432433,-1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.08614864864864866,0.0,-1.0,0.19144144144144146,-1.0,-1.0,0.0,-1.0,0.3445945945945946,-1.0,0.038288288288288286,-1.0,-1.0,0.04307432432432433,0.1722972972972973,-1.0,-1.0,-1.0,-1.0,-1.0
152114002 OBJECT ORIENTED PROGRAMMING I,0.08369943947886684,-1.0,0.03938797151946675,0.03719975087949637,-1.0,0.1115992526384891,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.07726102105741554,0.0,-1.0,0.18599875439748187,-1.0,-1.0,-1.0,-1.0,0.33479775791546734,-1.0,0.01287683684290259,-1.0,-1.0,0.033479775791546734,0.08369943947886684,-1.0,-1.0,-1.0,-1.0,-1.0
152114004 FUNDAMENTALS OF ELECTRONICS,0.027834054978052143,0.024636099725254663,0.017509285866535364,0.02606896856480981,0.050896557674152486,0.03859655623623231,-1.0,0.01734086257039709,0.014365963859639815,0.060566903632241466,0.022267243982441714,0.008906897592976687,0.01723915663156778,0.0796932942529493,0.055668109956104286,-1.0,0.04156552210055787,0.012724139418538121,0.03562759037190675,0.011133621991220857,0.03405578491432262,0.03393103844943499,0.028127045030452692,0.02580503040955862,0.02585873494735167,0.08906897592976686,0.01349529938329801,0.017813795185953375,-1.0,-1.0,0.021095283772839517,0.022267243982441714,0.04453448796488343,0.013444373725247828,0.03817241825561437,0.02968965864325562,-1.0
152114005 ECONOMICS,0.17391304347826086,-1.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.13043478260869565,-1.0,-1.0,0.5217391304347826,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.17391304347826086,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
152114006 ATATÜRK İLKE.VE İNK.TARİHİ II,0.024926824662449252,0.12463412331224624,0.03115853082806156,0.02266074969313568,0.12463412331224624,0.03115853082806156,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.12463412331224624,-1.0,-1.0,0.02769647184716583,0.0,-1.0,-1.0,0.05539294369433166,-1.0,0.046737796242092344,0.04154470777074875,0.0,-1.0,0.12463412331224624,0.0830894155414975,-1.0,-1.0,0.0,0.012463412331224626,-1.0,0.12463412331224624,-1.0,-1.0,-1.0
